label,Text
art,"A prisoner of your love. I stand behind four walls of gray.
- Alone; your memory my only company, each solitary day.
Locked down; twenty four hours around the clock, without you near.
- Living dreams of the past it seems, are all that I hold dear.
Constantly and always there, memories of you flow through the air.
- Constantly reminding me of our love. That we no longer share.
A prisoner of your love. Can I do the time? That's my only fear.
- And now the echo's of my lonely heart are the only sounds I hear.
Trapped; in this cinder block room. Shadows of gloom are here to stay.
- Trapped here without your love, as my blood turns prison gray.
Release may never come to me. This cell's become my home you see.
- Reliving how things used to be, in this gray walled penitentiary.
Alcatraz; is where I dwell. Where these gray walls are my living hell.
- Although one day escape I may. Right now's too soon to tell.
Zenith's, I know our love had reached. I'll love you still as time goes on.
- Zealously i'll wait for thee on ''The Rock''; till my last breath is gone..
*********************************** *************************************************
Author notes:
Written in double Acrostic   -
This poem was inspired by a picture of Alcatraz Prison
''The Rock'' as they called it then. Built in 1866, closed
one hundred years later - and a poem written by one the
prisoners:
Untitled -
I awaken to gray
And gray is my morning sun
I live gray
And all days are like one
There are no colors
Only shadows along the way
Sometimes I think, the blood in my body
Must also be prison gray
Aborigines lived here for forty thousand years
Under the starry sky's, they lived off the land.
Storms, droughts and fires
Throughout the millenniums
Ravished the land, but they survived.
According to their culture
Loyal to the land they remained
Ignoring all the ill they endured from the white
Aborigines have not yet lost the fight"
art,"A-ction
B-ring
C-reativities
D-own
E- specially
F-or
G-od's
H-elp
I-n
J- uly
K-nocks
L-oudly and
M-any
N-ew
O-pportunities
P-assess by
Q-uitely,
R-eaching
S-moothly
T-o
U-ntie
V- arious
W-orld's
X-enophobias through
Y-our
Z-ealeousness! !
¤NTA! !
BUTTERFLY
As born with Spring, with roses born away,
Breasting breeze’s wing to swing on high,
Upon bright buds’ breasts balanced, trembling play,
To drink and drown in perfume, light and sky.
To dust wings’ powder while still young and spry;
Earth flee, fly like a sigh the Milky Way, -
Rare fate, enchanted, of the Butterfly!
Fli[r]t, restless, like Desire, by night and day,
Loving all things, who none may satisfy,
Yearn ecstasy? - then seek in Heaven, .... good-bye!
Acrostic A BUTTERFLY
19 August 1991
Acrostic Translation Alphonse de LAMARTINE – Le Papillon
robi03_0449_lama01_0001
IIIIIIIIII IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII IIIIIIIIIII
PAPILLON
Naître avec le printemps, mourir avec les roses,
Sur l’aile du zéphyr nager dans un ciel pur;
Balancé sur le sein des fleurs à peine écloses,
S’enivrer de parfums, de lumière et d’azur;
Secouant, jeune encor, la poudre de ses ailes,
S’envoler comme un souffle aux voûtes éternelles;
Voilà du papillon le destin enchanté:
Il ressemble au désir, qui jamais ne se pose,
Et sans se satisfaire, effleurant toute chose,
Retourne enfin au ciel chercher la volupté.
Extrait de “Méditations” Alphonse de Lamartine 1790_1869
IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII"
art,"Captivated, by your love and charms. I shall always be.
~~ Can't wait to hold you in my arms. You are everything to me.
Always there, you are on my mind and deep within my heart.
~~ Always knew that I needed you. Right from the very start.
Pretty as a picture, you are a vision of loveliness.
~~ Pleasing is this gift of love, that we now possess.
Tears of joy you bring to me. With each passing day.
~~ Tears '' only of happiness '' are all that flow my way.
In every waking moment. I find that you are always on my mind.
~~ In every way I am thankful, for our love that's so divine.
Virtually our love has blossomed, fulfilling my every need.
~~ Viable is how our love has grown, from the smallest seed.
All of heavens stars shine down, upon the wonder of our love.
~~ All love's treasure beyond measure. 'Twas sent from up above.
The love we have grown. This love we now own, it shall always stay.
~~These feelings that I feel today, shall never go away.
Every time I hold you in my arms. I know that our love is true.
~~ Each breath that I take asleep or awake, 'tis for only you.
Darling listen to me as I hold you in my arms. It's you that I adore!
~~ Deeply; I am captivated by your love and will be - for evermore...
****************************** *********************************************
~TJW~
Poem In double acrostic -
Real deal don’t simply come through,
Only a zealous act can make it true.
Can not cease on one or two successes,
Heed to what your innate desire focuses.
Expend all the opportunities at hand,
Let your candid charm grabs it all with fond.
Life is an open arena for whatever you yearn,
Every victory you get is worth the train.
Onward to venture and accomplish more,
Conquer boundaries while you explore.
Our support for you bear no bore."
art,"Clues
Orbit
Nightly in
Concentric dreams.
Ellipses  carry
Notes and nuance beyond
The limits of inner space.
Revolving glimmers coalesce
In overlapping lucent circles.
Clues orbit nightly in concentric dreams.
Pain, is my life
Optimist, is my sight
Evil, is my breath
Missory, is my hope
Heart, is my strength
Useless, is my worth
Nothingness, is my soul
Torn, is my thought
Elusive, is my spirit
Remorse, is my love"
art,"Doctors are a noble lot
Often misunderstood, a slot
Caring for the sick and dying
They comfort the anguished and crying
One true noble profession, world envies
Really doing yeoman service
Sacrificing precious time for patients’ sake
Demanding not much in return
Always ready to save lives
Yet, the world seems dissatisfied!
‘Happy Doctor’s Day! ’
Copyright by Dr John Celes 7-1-2010
Lovingly dedicated to our beloved Chief Minister of Tamilnadu,
On his birthday,03-06-2010
Dravidian Movement leader of great repute
Ryot by birth and writer in Tamil of scripts and songs
Known for his eloquence in Tamil oration
Author of many Tamil books of high literary quality
Lover of Tamil language and culture and Lyricist
A rare human being who made India and Tamilnadu proud
Inferno that burned off the caste and creed differences amongst Tamilians
Genius and generous giver of awards and rewards for deserving artistes and achievers
Newspaper founder and editor
Anjugam’s son
Renowned erudite Chief Minister of Tamilnadu
Muthuvel’s son; Mayor of Chennai; MLA; MISA detenu;
Keeper of words and promises
Arrested on many occasions on political grounds and for spear-heading social causes
Reputed and revolutionary Indian Tamilian statesman
Unbiased but shrewd politician
Notable legislator
Anti-hindi agitationist
Natural poet-playwright and story-writer
Imprisoned for political reasons
Doctor of Philosophy
Heart of kindness and humaneness
Indian Tamilian patriot, who adored the sacred soil of the Motherland
Copyright by Dr John Celes 03-06-2010"
art,"dying wish...
inscribe my plaque:
already re-cycling
& tanka acrostic
terns scattering
along the shore
nibbling waters
keening
ambling scavengers
Both published in moonset LITERARY NEWSPAPER - Autumn/Winter 2008
ELIZABETHAN ODE
Eye evidence, essential essence, eliminate evanescence.
Life links leal, lifts local level label, lets loyal love thrill, spill, spell swell well.
Iraqi illuminati, in ideal Irani idyll insight, intuitively identify pi.
Zephyrs zigzag Fez, Zion, Jerez zoom z zones, Cortez’
America, Africa, Asia, and Australasia, award Aisha ahura aura
Beauty’s baobub boob bulb baits breath, -  throb blurb brain bomb.
Elate, elevate exquisite elite, emanate effervescence.
Total trust, trait tact, traps tart test threat, - that toast taught taut thought text tract triumphant.
Hurrah hath harmony hatch. Happiness here holdeth heavenly hope high
Essence est vie et l’harmonie, en elle
Laissant le lien loyal, réel miel du ciel.
Image aussi infinie ici ira
Zephyr voyagez, voyez, vivez!
Aura ardeur, là attendra, aimera
Beauté bien brillante bannira bla, bla!
Exquise est voie esquissée – espère énergie, émoi et joie
Tenant tête – tâtant terrain, tout test totalement transparent traduit toi[t] triomphant
Homme heureux, ah!
19 April 2005 revised 18 November 2006
robi03_1239_robi03_0000 BQT_LMX"
art,"Boiling over with sudden extreme Anger
Only wondering not really knowing
I only suspect dishonesty
Letting my suspicions take hold of me
I prepare for my plan of attack
Not knowing where my questions will lead
Going to a private hell where trust is out of reach
Overly hurt and utterly disgusted
Very sickening feelings flood my mind.
Every thing I thought I knew, I now question
Ready to give up and say enough is enough!
Each new day is a rare chance at LifE
Not merely an accident, lightly takeN.
Considering death is our cul de saC
Obviously our Fate, that's eventually sO.
Use each moment then to bless all round yoU
Remember on earth, you won't stay foreveR.
Always bring Kindness as a sort of mannA
Grace your words with love as a blessinG.
Every moment holds opportunity therE
Many are hurting, with words you can touch theM.
Even across miles,  Goodness knows no fencE,
Now is the time for Man's care to be giveN.
Truly as the night comes, you sleep in contentmenT."
art,"E ach day in cotton gloves, the artist works
P erfecting gorgeous flowers made of silk
H armoniously hued and ever perked
E ternal, unlike fresh ones of their ilk
M eandering back home 'midst evening gloom
E ncounters in a sad neglected park
R etiring, non-attention seeking bloom
A nd feels a stirring of compassion spark
L ets dropp her wooly mitt and stoops to touch
B eneath the leaves, dropped petals slowly fade
L amenting tarnished loveliness nonesuch
O bliquely for a moment two lives braid
O ff hand there is no purpose for a glove
M ortality is tantamount to love.
Every flower that blooms withers
Very true is the tale,
Even the brightest and the pale;
Rich in softness, fragrance, beauty and colors
Yet they give out pleasure to others
Fresher they bloom, duller they wither;
Look at their wonderful journey
Only once they bloom, yet they live on
Within the minds of all, as recollection
Even after many years, as honey
Rightly are they GOD's best creation!"
art,"Forever loving thru' the years. You dried my eye's with patience. When they
~~~Filled with tears. Fair and strong '' your love '' had quelled all of my fears.
Always there, with outstretched hand. With hugs that felt to me so grand.
~~~Always you were so comforting. Those days you were my everything.
Teacher you be! You taught to me. All that's right from wrong.
~~~These values you've instilled so lovingly. Helped to make me strong.
Healer of my heart, your my conscience and my model too. These qualities
~~~Have touched me deeply and made me so proud of you.
Everlasting is the bond that we share together. The gift's you gave to me
~~~Each day effectually. Shall last now and forever.
Respect, admiration and love I send your way.  From my heart you are
~~~Remembered, have a ' Happy Father's Day '! !  I Love You Dad....
********************************** ************************************************* **
~TJW~ Acrostic...
Forced “progress’” pace, accelerating years
Race onwards, spiral with increasing speed,
Each chasing each proclaiming global need,
Exhorting freedom shatter terror's tears,
Enjoying well earned triumph.  Changing gears
Now merge and surge impelled by subprime greed.
To tipping point for health, to which succeed
Epidemics global.  Each man fears
Rising floods as arctic ice-cap nears
Precocious end.  Beliefs begin to bleed,
Regions suffer climatic threats which feed
Insider dealing, trust, bear disappears.
Seek Eden far from mortgaged madding crowd,
Enjoy simplicity with heart unbowed...
15 November 1991 revised 27 August 2007"
art,"From the departure of all worries
Refreshing beams from a source
In a new way with a bloom
Every passing moment is with this
No more troubles and no more pain
Destined for this path only to gain
Sailing through the winds on this thread
Hiking through the perils of this world
It's a relationship with your friends
Passage and shelter, from all trends
Functioning is difficult when in shock
Untimely end has come for all
Lack of food
Lack of hope
I see no bravery only fear, only pain
Men kill, men die
People struggle to survive
Aid is needed everywhere
Courage is needed in the hopeless
Time passes slowly, too slow
Outside is unsafe
Families are blown apart
Honour is all we have left
Obvious pain shows on all faces
Rich and poor people suffer the same
Running away has become normal
Our lives are destroyed
Ruin has commenced"
art,"Angel
Now
Glows
Everyone's
Light
S ouls
HARMONIE DU SOIR
Mark now the days have come where bloom on stem addressed
A-tremble spreads scent balm upon soft evening air
Unveiling perfumed calm and background sounds full fair
Dream waltz-mode stately-sad and langour’s dizziness
Enchanting spread scent balm upon soft evening air –
Music from violin as in heart sorely pressed.
A waltz-mode stately-sad and humour hard oppressed.
Under sky beauty-sad, as altar dressed for prayer.
Drawn violin soft sings heart burden hard to bear,
Echoes to tender soul detesting emptiness,
Mirroring sad sky nigh, yet like an altar dressed,
As sun drowns, set in blood, blood-red, sere, set, see there!
United hearts are guessed  that stark dark nights detest,
Dawn recalls lost past’s light each remnant’s traced with care.
Even's bloodset sun drowns reflections everywhere,
Canvas your memory, my sacred relic blessed.
robi03_1422_baud1_0008 ATX_MNX
2 April 2006 revised 11 October 2008
Acrostic Translation Charles BAUDELAIRE Les Fleurs du Mal XVII   For previous version see below
----------
Harmonie du Soir
Mark now the days have come where bloom on stem addressed
A-tremble spreads its balm upon the evening air
Revealing perfumed calm and background sounds full fair
In waltz-mode stately-sad and langour’s dizziness
At last to spead its balm upon the evening air –
Music from violin as in heart sorely pressed.
A waltz-mode stately-sad and humour hard oppressed.
My sky, too, beauty-sad, as altar dressed for prayer.
A violin soft sings heart burden hard to bear,
Replies to tender soul detesting emptiness,
It echoes sad sky nigh, yet like an altar dressed,
As sun drowns, set in blood, blood-red, sere, set, see there!
May tender heart be guessed that dark night does destest,
Although of lost past’s light each remnant’s traced with care.
Drowning sun, set in blood, reflections everywhere,
Draws your portrait for me, a sacred relic blessed.
2 April 2006
Charles BAUDELAIRE Les Fleurs du Mal XVII
IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
H ARMONIE DU SOIR
Voici venir les temps où vibrant sur sa tige
Chaque fleur s’évapore ainsi qu’en encensoir;
Les sons et les parfums tournent dans l’air du soir;
Valse mélancolique et langoureux vertige!
Chaque fleur s’évapore ainsi qu’en encensoir;
Le violon frémit comme un coeur qu’on afflige;
Valse mélancolique et langoureux vertige!
Le ciel est triste et beau comme un grand reposoir.
Le violon frémit comme un coeur qu’on afflige;
Un coeur tendre, qui hait le néant vaste et noir!
Le ciel est triste et beau comme un grand reposoir.
Le soleil s’est noyé dans son sang qui se fige.
Un coeur tendre, qui hait le néant vaste et noir!
Du passé lumineux recueille tout vestige!
Le soleil s’est noyé dans son sang qui se fige.
Ton souvenir en moi luit comme un ostensoir!
Charles BAUDELAIRE Les Fleurs du Mal XVII
IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII"
art,"He gave forgiveness for all who repent
In His great Mercy paid it all at Calvary
Sacrificed so perfect,  Grace touched you and me.
How can one receive the Gift so pure?
Each one can take it from His Word
All who turn away from sin are sure
Love and peace His Grace pours forth
In all of that He reigns as LORD
New creations only He can promise
God is Faithful and He will do this.
God gives new life as you turn to Him
Restoration and healing He alone can give
Almighty and eternal is your God within
Christ said you will not perish but eternally live.
Everything God said is true...so believe!
Hallowed be the time before Halloween was the first day of Christmas
Alleluia to the day when Carols did not play
Prior to Thanksgiving
Perhaps you remember it, to me it seems like only
Yesterday such was the rule.
How did we allow
Our priorities to change
Letting commerce lead the way
In deciding the final say
Delivering up the season
Against our better judgement
Yielding to the pressure of
Salesmen and Advertisements
Maybe we lost our way
Even without knowing
Ready to jump at the chance to
Run after ever more accumulations
Yet never having enough
Can you really say you are
Happier now then when the
Real spirit of Christmas
Inspired more than just
Spending or
Taking, and the true
Meaning of Christmas was
As clear as a
Silent night with one brilliant Star"
art,"Homework is such a bore
Others never do it
M y parents make me
Everyday I get a ton
Way to much to get done
Occasionaly I have none
Really though, I’ll get the teachers back
Knock some sense into them
Dull grey cabinets, posters on the wall,
Overalls in grubby white passing through the hall,
Stretcher beds, beige, blue, seating for a few,
The white welcome posts do duty all year through.
Awaiting diagnoses, anxious patients call,
Yet information filters slowly, at a crawl.
Patience, a virtue, tried and tested too,
Applies elastic strings to Time, judgements askew.
Through age, illness, accident, Death nets all.
Independence? – truly few retain the wherewithal.
Every day brings query, quandary adds to
New isolation, illness, tests as wills unglue.
Count all your blessings, be life fine or squall,
Each soon accounts must render, with Death’s pall."
art,"Being in love
excite my fantasy,
very romantic and
ever ecstatic...
relationship with a mature
lover is exquisite experience
yes, quite an indulgence!
Often, we surf in love...
rejoicing in ecstasy
on each others' arms.
overtime we explore,
never a dull moment
getting best in love!
I will stand by you until; the sands of time, stand still -
Without you my world would just crumble and fade away
It is heaven when I hold you, each embrace is such a thrill
Lost in thoughts of you, your on my mind both night and day
Love like ours I am thankful for and I pray our love will stay
Standing by your side I shall, in sunshine or in rain
Through my life '' I will stand by you '' there I shall remain
As our love grows, like the pretty flowers do in spring
Never ending perfumed bouquets of love, to you I'll bring
Divine is our romance, to me your love means everything
Being with you my angel, I've shed only happy tears
Your loves a part of me, that I'll treasure through the years
You are all I ever longed for my paradise of dreams, it seems
Only your love could bring this all about. I will stand by you
Until the last grain of sand, in the hourglass of time runs out
***************************************** *******************************"
art,"J ust as the old year ends the new begins,
A nd once again the countdown is in motion.
N ow we can say goodbye to last year’s sins,
U plifted hearts set out on this new ocean.
A las, our resolution may soon fail
(R elentless life is so full of commotion)
Y et full of hope we willingly set sail.
Kindles my heart with love
enthuse my soul with ecstasy
zealous adoration inspires me
influx of fantasy fills my thoughts
as you capture my whole being
how I wish I can win your love too
Amor is love
many dream of
on finding it right
rare true love comes
Soon I shall have courage
and ready to court you
love for me is timing
confident and true
ever patience
daring action
on right time"
